0	28	1	1	1
1	86	1	1	1
1	91	1	1	1
2	41	1	1	1
2	52	1	1	1
2	66	1	1	1
2	82	1	1	1
2	108	1	1	1
2	112	1	1	1
5	1	1	1	1
5	29	1	1	1
5	35	1	1	1
5	65	1	1	1
5	83	1	1	1
6	16	1	1	1
6	55	1	1	1
6	68	1	1	1
6	93	1	1	1
6	125	1	1	1
6	129	1	1	1
6	132	1	1	1
6	141	1	1	1
10	18	1	1	1
10	90	1	1	1
10	133	1	1	1
11	72	1	1	1
14	15	1	1	1
14	17	1	1	1
14	137	1	1	1
15	20	1	1	1
15	73	1	1	1
15	118	1	1	1
15	134	1	1	1
17	3	1	1	1
17	13	1	1	1
17	22	1	1	1
17	34	1	1	1
17	39	1	1	1
17	46	1	1	1
17	47	1	1	1
17	54	1	1	1
17	67	1	1	1
17	69	1	1	1
17	71	1	1	1
17	107	1	1	1
17	122	1	1	1
17	127	1	1	1
21	0	1	1	1
21	35	1	1	1
21	37	1	1	1
21	50	1	1	1
21	51	1	1	1
21	60	1	1	1
21	63	1	1	1
21	77	1	1	1
21	79	1	1	1
21	83	1	1	1
21	92	1	1	1
21	103	1	1	1
21	113	1	1	1
21	120	1	1	1
21	126	1	1	1
21	136	1	1	1
21	139	1	1	1
23	74	1	1	1
27	142	1	1	1
29	89	1	1	1
30	76	1	1	1
36	6	1	1	1
37	5	1	1	1
38	9	1	1	1
38	27	1	1	1
38	45	1	1	1
38	80	1	1	1
38	110	1	1	1
38	132	1	1	1
38	141	1	1	1
38	142	1	1	1
40	26	1	1	1
40	32	1	1	1
40	61	1	1	1
40	85	1	1	1
40	95	1	1	1
40	102	1	1	1
40	124	1	1	1
40	126	1	1	1
40	136	1	1	1
42	25	1	1	1
43	7	1	1	1
43	8	1	1	1
43	12	1	1	1
43	44	1	1	1
43	62	1	1	1
43	111	1	1	1
49	66	1	1	1
51	42	1	1	1
56	40	1	1	1
59	111	1	1	1
60	56	1	1	1
60	81	1	1	1
65	106	1	1	1
65	115	1	1	1
65	143	1	1	1
68	33	1	1	1
68	104	1	1	1
72	21	1	1	1
81	56	1	1	1
86	57	1	1	1
89	24	1	1	1
89	75	1	1	1
89	88	1	1	1
89	99	1	1	1
89	109	1	1	1
89	123	1	1	1
91	57	1	1	1
95	30	1	1	1
95	58	1	1	1
95	128	1	1	1
95	135	1	1	1
96	18	1	1	1
96	53	1	1	1
96	117	1	1	1
97	33	1	1	1
97	94	1	1	1
97	101	1	1	1
97	141	1	1	1
98	104	1	1	1
100	19	1	1	1
102	100	1	1	1
105	111	1	1	1
106	57	1	1	1
113	31	1	1	1
114	87	1	1	1
115	57	1	1	1
117	70	1	1	1
117	89	1	1	1
117	143	1	1	1
119	94	1	1	1
119	114	1	1	1
119	132	1	1	1
121	116	1	1	1
126	84	1	1	1
130	96	1	1	1
131	57	1	1	1
133	11	1	1	1
133	72	1	1	1
134	35	1	1	1
134	83	1	1	1
136	4	1	1	1
137	48	1	1	1
137	78	1	1	1
138	64	1	1	1
140	43	1	1	1
142	119	1	1	1
143	123	1	1	1
